Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_43'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_60'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_124'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_72'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_130'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: <SpikeMonitor, recording from 'spikemonitor'>, Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: NetworkOperation(clock=Clock(dt=100. * msecond, name='clock'), when=start, order=0, name='networkoperation_2'), Clock: Clock(dt=100. * msecond, name='clock'), dt: 100. ms
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_100'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_118'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_66'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_95'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_37'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_30'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_48'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_106'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_113'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_3'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_112'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_5'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_14'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_8'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_78'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: Synapses(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='synapses_105'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
Object: NeuronGroup(clock=Clock(dt=100. * usecond, name='defaultclock'), when=start, order=0, name='neurongroup_9'), Clock: Clock(dt=100. * usecond, name='defaultclock'), dt: 100. us
